geo,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,2207.58,2179.17,2172.54,2211.03,2275.75,2256.58,2245.48,2310.95,2265.26,2228.41,2266.22,2239.66,2243.49
ago,Angola,2423.28,2490.47,2439.29,2518.89,2552.55,2471.92,2430.36,2451.11,2452.36,2426.64,2396.75,2402.78,2434.79
alb,Albania,3256.2,3296.51,3346.3,3342.5,3317.63,3330.24,3365.17,3377.68,3352.44,3374.96,3349.64,3330.23,3390.48
are,UAE,2993.37,3102.35,3170.69,3213.34,3176.04,3189.69,3173.41,3218.48,3228.06,3305.33,3300.25,3314.71,3321.43
arg,Argentina,3078.17,3070.52,3101.37,3131.58,3171.16,3226.33,3167.51,3195.35,3237.59,3269.76,3308.56,3345.05,3347.34
arm,Armenia,3147.65,3157.55,3148.72,3201.99,3218.2,3213.94,3184.75,3133,3176.72,3230.07,3216.01,3228.41,3276.83
atg,Antigua and Barbuda,2327.81,2367.76,2410.86,2443.18,2403.11,2410.11,2395.58,2435.22,2475.08,2454.51,2428.11,2442.5,2458.4
aus,Australia,3534.24,3515.65,3563.62,3545.66,3533.44,3518.82,3536.95,3492.86,3469.87,3502.59,3478.39,3478.52,3470.69
aut,Austria,3785.93,3835.44,3823.83,3797.79,3755.18,3734.81,3715.84,3753.51,3754.59,3813.58,3769.82,3784.15,3812.18
aze,Azerbaijan,2944.3,2970.44,2985.39,2985.92,2985.87,3004.01,3026.01,3086.78,3152.79,3268.62,3344.83,3355.92,3327.53
bdi,Burundi,1503.47,1442.48,1440.48,1482.36,1594.66,1696.48,1748.16,1735.99,1786.97,1779.95,1770.22,1771.76,1754.83
bel,Belgium,3727.64,3732.81,3723.84,3737.74,3806.67,3817.04,3780.82,3792.54,3801.16,3848.68,3858.54,3898.15,3909.12
ben,Benin,2601.04,2625.21,2623.24,2627.96,2656.31,2636.42,2642.29,2641.74,2633.2,2687.01,2724.74,2773.31,2785.64
bfa,Burkina Faso,2605.07,2582.32,2641.81,2661.48,2647.85,2653.97,2644.67,2617.73,2654.84,2629.51,2678.4,2651.78,2675.05
bgd,Bangladesh,2388.08,2418.76,2430.33,2423.51,2441.2,2505.45,2441.71,2494.19,2564.41,2513.82,2570.56,2567.03,2580.79
bgr,Bulgaria,2718.66,2726.82,2730.2,2792.93,2820.15,2729.06,2799.34,2812.71,2871.13,2870.92,2899.21,2979.95,3055.05
bhr,Bahrain,,,,,,,,,,3482.36,3536.47,3479.52,3505.98
bhs,Bahamas,2574.74,2563.44,2661.24,2613.26,2558.99,2544.81,2550.2,2567.27,2596.51,2551.63,2560.98,2600.34,2619.86
bih,Bosnia and Herzegovina,3098.46,3110.56,3107.16,3151.43,3216.64,3288.1,3320.53,3293.9,3325.36,3341.74,3366.94,3349.43,3368.04
blr,Belarus,3099.66,3153.04,3225.46,3238.94,3262.22,3230.89,3226.08,3243.19,3243.28,3291.94,3334.1,3300.45,3330.2
blz,Belize,2764.54,2725.02,2746.79,2723.53,2675.25,2704.14,2721.4,2766.83,2770.41,2810.63,2839.03,2801.3,2815.42
bol,Bolivia,2238.25,2255.97,2265.78,2274.68,2263.69,2322.68,2365.11,2361.36,2392.82,2419.1,2380.24,2359.56,2331.38
bra,Brazil,3258.39,3299.84,3248.84,3257.89,3298.68,3243.5,3222.53,3236.71,3275,3281.63,3252.06,3299.46,3304.87
brb,Barbados,3087.36,3052.29,3077.81,3063.89,3050.94,3088.49,3072,3043.36,3088.61,3136.3,3200.99,3189.9,3197.51
btn,Bhutan,,,,,,,,,,3223.67,3245.75,3229.17,3215.3
