geo,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,27.26027,41.94521,47.83562,44.93151,47.78082,43.69863,32.63014,40.63014,46.35616,43.61644,43.09589,35.94521,23.09589
ago,Angola,59.53425,58.46575,60.52055,63.06849,76.52055,60.13699,58.19178,55.28767,56.0274,60.54795,52.19178,48.79452,44.54795
alb,Albania,102.57534,102.27397,109.26027,108.9863,83.53425,94.52055,98.9863,98.65753,100.54795,115.75342,113.34247,122.93151,139.61644
are,UAE,117.72603,118.35616,125.17808,126.52055,124.46575,127.83562,128.84932,157.0411,103.61644,105.75342,38.57534,40.9589,88.35616
arg,Argentina,128.54795,128.63014,126.79452,126.9863,127.15068,126.38356,126.76712,128.71233,124.13699,127.39726,130.30137,104.16438,103.83562
arm,Armenia,163.91781,150.21918,148.60274,147.20548,141.23288,121.06849,116.65753,119.17808,134.0274,157.69863,137.31507,135.34247,142.82192
atg,Antigua and Barbuda,132.9863,138.05479,103.12329,141.36986,136.35616,130.9863,140.9589,140.19178,140.08219,138.87671,143.86301,120.65753,127.67123
aus,Australia,361.09589,357.61644,357.72603,357.42466,315.15068,300.90411,304.65753,301.0411,293.50685,280.9863,283.15068,281.53425,281.0411
aut,Austria,148.38356,149.75342,148.76712,151.64384,141.12329,150.68493,156.93151,147.53425,143.12329,127.09589,117.50685,113.15068,113.17808
aze,Azerbaijan,122.87671,122.19178,129.45205,132.93151,151.78082,144.46575,120.65753,123.64384,131.26027,144.82192,149.0137,163.64384,161.61644
bdi,Burundi,8.9589,12.84932,14.65753,11.28767,9.89041,8.90411,10,11.36986,9.61644,10.41096,10.90411,14.49315,16.10959
bel,Belgium,247.86301,193.26027,222.87671,175.0411,146.63014,169.12329,161.58904,162.35616,171.91781,158.13699,132.46575,140.24658,138.05479
ben,Benin,21.69863,21.26027,21.12329,24.76712,24.08219,23.0411,21.42466,23.36986,26.79452,31.86301,28.27397,25.09589,25.83562
bfa,Burkina Faso,20.13699,21.67123,19.34247,22.35616,24.54795,24.9589,26.16438,27.15068,22.9589,17.45205,19.75342,20.43836,23.0137
bgd,Bangladesh,29.69863,29.83562,29.80822,30.13699,29.34247,29.50685,28.90411,27.80822,27.69863,27.75342,28.38356,28.24658,27.0137
bgr,Bulgaria,95.91781,96.54795,78.9589,105.34247,91.72603,91.67123,93.26027,93.47945,93.80822,101.78082,104.73973,107.56164,131.50685
bhr,Bahrain,,,,,,,,,,145.39726,147.58904,169.61644,159.58904
bhs,Bahamas,125.83562,194.82192,192.27397,196.27397,190.93151,186.9589,188.46575,191.09589,155.50685,146.57534,135.50685,129.56164,173.56164
bih,Bosnia and Herzegovina,122.82192,114.35616,112.68493,106,125.45205,119.58904,111.61644,104.46575,104.30137,111.9726,113.86301,136.30137,149.50685
blr,Belarus,198.76712,208.76712,220.87671,222.21918,211.39726,207.89041,206.43836,210.43836,212.13699,121.12329,128.35616,151.86301,161.53425
blz,Belize,132.24658,136.84932,131.34247,131.12329,126.41096,116.9589,127.64384,140.73973,114.52055,116.38356,110.9863,107.61644,109.42466
bol,Bolivia,247.34247,260.76712,264.54795,298.63014,224.10959,212.49315,215.17808,227.15068,224.27397,233.31507,224.27397,220,225.50685
bra,Brazil,117.23288,117.12329,117.34247,117.45205,117.58904,116.76712,116.43836,116.27397,116.08219,114.84932,100.84932,101.23288,102.71233
brb,Barbados,172.93151,172.43836,191.28767,172.43836,169.61644,169.67123,167.83562,169.91781,171.15068,172.93151,161.75342,194.68493,189.53425
btn,Bhutan,,,,,,,,,,40.05479,35.20548,42.21918,39.56164
bwa,Botswana,78.9863,74.46575,92.27397,102.9589,94.13699,98.90411,95.94521,102.05479,98.46575,141.28767,134.49315,145.36986,142
caf,Central African Republic,21.94521,22.82192,24.79452,19.86301,20.49315,19.67123,22.41096,25.12329,27.39726,22.71233,24.54795,26.32877,22.87671
can,Canada,257.31507,256.90411,256.73973,256.65753,257.89041,257.20548,249.56164,232.0274,154.82192,137.80822,138.65753,137.34247,137.06849
che,Switzerland,160.57534,159.09589,164.71233,164.60274,142.68493,132.43836,130.65753,134.38356,124.13699,126.60274,117.86301,119.06849,114.10959
chl,Chile,134.38356,134.13699,133.45205,133.23288,132.79452,133.75342,132.35616,129.69863,125.86301,112.43836,121.80822,129.80822,131.61644
chn,China,20.19178,20,20.60274,21.06849,25.45205,25.0137,20.71233,24.52055,21.78082,23.89041,21.69863,24.9589,24.76712
civ,Cote d'Ivoire,22.79452,26.21918,24.49315,24.57534,20.21918,24.21918,25.09589,26.73973,34.54795,31.45205,31.28767,36.24658,37.86301
cmr,Cameroon,32.76712,28.49315,27.15068,27.50685,28.87671,26.0274,22.68493,27.50685,30.24658,28.30137,31.28767,26.38356,35.39726
cod,"Congo, Dem. Rep.",8.82192,8.82192,8.82192,8.93151,8.21918,9.20548,9.17808,9.56164,9.56164,9.36986,9.20548,8.46575,8.57534
cog,"Congo, Rep.",37.06849,37.58904,40.84932,46.93151,43.89041,43.80822,40,37.9726,37.42466,26.71233,33.36986,29.23288,41.42466
col,Colombia,162.57534,163.91781,165.06849,170.16438,166.65753,163.86301,168.71233,209.72603,204.05479,158.08219,148.79452,149.75342,161.0137
com,Comoros,35.94521,30.68493,29.15068,35.12329,33.0137,8.65753,32.84932,35.34247,15.72603,78.68493,59.23288,55.94521,87.26027
cpv,Cape Verde,66.52055,64.71233,61.28767,66.60274,68.24658,55.50685,67.61644,75.9726,59.23288,64,55.9726,80.52055,79.94521
cri,Costa Rica,152.32877,150.52055,150.54795,146.76712,145.89041,144.60274,152.93151,141.50685,142.54795,135.42466,127.31507,124.13699,129.89041
cub,Cuba,167.06849,158.38356,150.38356,146.0274,147.26027,146.19178,144.05479,139.47945,144.90411,145.42466,140.0274,133.94521,138.24658
cyp,Cyprus,162.73973,161.12329,160.82192,160.57534,161.94521,164.46575,154.16438,154.79452,158.84932,150.38356,161.31507,184.21918,190.90411
cze,Czech Republic,140.30137,167.75342,180.65753,184.52055,155.39726,133.06849,128.9589,136,121.12329,115.94521,99.64384,108.0274,117.64384
deu,Germany,139.50685,136.19178,132.87671,136.87671,133.89041,136,130.24658,127.53425,121.45205,120.63014,121.9726,131.06849,137.26027
dji,Djibouti,84.13699,84.73973,85.50685,86.57534,93.9726,101.34247,96.54795,101.0137,107.80822,120.57534,121.91781,130.13699,108.13699
dma,Dominica,178.27397,138.46575,141.47945,139.67123,187.75342,191.58904,192.87671,191.12329,188.38356,180.41096,221.42466,142.76712,157.0411
dnk,Denmark,149.0137,155.91781,152.19178,154.38356,150.46575,150.54795,150.63014,151.28767,153.06849,148.35616,152.27397,149.31507,156.41096
dom,Dominican Republic,96.35616,87.31507,94.0274,97.53425,107.9726,105.0137,104.54795,108.9589,115.12329,122.05479,117.20548,123.67123,126.87671
dza,Algeria,81.39726,80.9863,81.34247,81.67123,82.41096,83.09589,83.61644,83.42466,83.17808,86.13699,87.26027,89.69863,86.05479
ecu,Ecuador,240.73973,216.84932,228.71233,250,230.41096,224.19178,226.35616,222.24658,214.68493,207.20548,205.15068,216.79452,215.0411
egy,Egypt,68.87671,68.79452,69.23288,69.61644,68.79452,69.42466,69.61644,69.72603,70.46575,69.15068,61.42466,64.57534,60.73973
esp,Spain,82.60274,87.89041,89.50685,89.47945,91.69863,91.58904,92.05479,90.43836,92.10959,88.27397,83.9726,84.57534,94.27397
est,Estonia,197.28767,193.61644,200.0274,180.0274,168.71233,149.20548,131.50685,123.80822,142.46575,152.10959,182.35616,211.86301,242.46575
eth,Ethiopia,16.57534,17.12329,18.05479,17.23288,20.38356,19.94521,23.42466,22.73973,26.21918,17.83562,20.9589,23.0137,21.15068
fin,Finland,110.05479,109.39726,109.42466,109.31507,110.05479,110.41096,110.35616,110.71233,113.89041,133.86301,129.31507,127.94521,136.46575
fji,Fiji,468.82192,438.82192,460.65753,449.72603,476.90411,491.75342,481.12329,441.89041,391.36986,349.67123,417.17808,394.65753,371.78082
fra,France,98.9863,98.19178,100.57534,104.32877,113.86301,99.31507,105.80822,98.57534,75.17808,89.28767,94.38356,100.84932,101.53425
fsm,"Micronesia, Fed. Sts.",,,,,,,,,,119.72603,136.71233,139.67123,136.63014
gab,Gabon,60.52055,58.52055,57.0137,59.61644,63.12329,53.0411,63.26027,58.16438,57.23288,64.08219,56.54795,51.53425,53.0137
gbr,UK,106.19178,110.46575,111.09589,120.79452,107.94521,103.61644,102.32877,104.65753,105.23288,109.9726,92.0274,103.26027,120
geo,Georgia,109.15068,109.28767,122.08219,120.63014,114.90411,121.53425,117.61644,124.35616,143.06849,145.72603,123.31507,117.34247,111.83562
gha,Ghana,37.17808,34.0274,36.68493,42.76712,39.26027,38,35.09589,36.52055,33.83562,45.94521,37.31507,38.10959,34.79452
gin,Guinea,37.50685,40.30137,40.43836,40.60274,41.26027,39.9726,40.52055,40.79452,41.23288,40.60274,49.64384,55.17808,52.41096
gmb,Gambia,151.83562,142.32877,147.94521,150.90411,167.50685,170.79452,182.71233,178.9863,192.10959,0.10959,198.43836,196.90411,208.60274
gnb,Guinea-Bissau,31.78082,9.56164,8.54795,9.83562,19.83562,14.13699,22.71233,25.47945,24.90411,26.76712,25.53425,29.23288,30.65753
grc,Greece,99.0411,87.69863,96.93151,92.60274,79.17808,78.82192,78.90411,91.0411,88.82192,91.69863,101.39726,107.26027,110.65753
grd,Grenada,93.58904,98.10959,93.0411,84.43836,99.89041,147.69863,144,138.0274,91.58904,121.26027,128.30137,85.64384,120.30137
gtm,Guatemala,125.83562,125.72603,130.63014,130.71233,113.58904,120.71233,108.68493,126.60274,133.56164,130.46575,151.58904,154.63014,151.83562
guy,Guyana,177.0411,180.52055,186.08219,188.35616,160.49315,156,172.27397,160.93151,152.38356,130.10959,126.54795,185.47945,189.56164
hnd,Honduras,148.13699,148.63014,151.86301,154.27397,153.61644,154.19178,153.78082,153.09589,153.39726,154.38356,137.72603,139.45205,158.54795
hrv,Croatia,146.54795,142.10959,127.94521,117.9726,154.73973,142.32877,147.0137,167.78082,163.34247,235.89041,218.79452,216.93151,204.0274
hti,Haiti,51.53425,50.49315,50.79452,52.05479,52.68493,52.49315,52.65753,53.94521,56.93151,69.80822,70.19178,69.91781,60.90411
hun,Hungary,94.49315,98.05479,97.45205,95.80822,110.21918,113.06849,111.34247,110.60274,109.39726,141.56164,152.27397,143.9726,135.61644
idn,Indonesia,43.23288,51.20548,51.83562,57.56164,66.9863,68.79452,70.13699,66.35616,72.68493,71.83562,77.75342,75.61644,84.19178
ind,India,56.9589,60.08219,61.50685,61.86301,58.71233,61.06849,61.94521,60.46575,67.75342,62.41096,54,52.60274,55.15068
irl,Ireland,112.41096,256.41096,246.68493,231.67123,249.28767,222.87671,230.05479,214.65753,232.05479,221.42466,241.0137,242.13699,263.53425
irn,Iran,91.83562,87.83562,86.65753,86.21918,85.69863,84.54795,88.38356,86.05479,85.83562,91.09589,93.15068,85.72603,92.9589
irq,Iraq,69.06849,67.72603,69.83562,70.27397,66.30137,65.34247,63.12329,64.24658,65.61644,63.75342,61.89041,63.20548,63.78082
isl,Iceland,255.23288,242.24658,250.52055,255.67123,138.63014,142.10959,153.20548,161.72603,234.54795,215.17808,232.79452,243.20548,280.30137
isr,Israel,87.17808,87.15068,87.64384,85.72603,123.50685,124.82192,123.34247,134.05479,117.15068,136.54795,138.57534,133.28767,149.61644
ita,Italy,83.23288,85.23288,87.36986,88.9863,89.78082,89.47945,89.72603,89.75342,92.10959,92.87671,94,96.19178,102.60274
jam,Jamaica,168.32877,146.57534,167.47945,172.13699,178.87671,189.89041,177.61644,181.94521,183.75342,167.12329,154.9589,138.46575,141.9726
jor,Jordan,112.9863,99.89041,97.94521,107.23288,117.34247,129.42466,127.75342,134.10959,131.67123,126.13699,131.94521,127.47945,132.71233
jpn,Japan,70.19178,76.90411,76.84932,76.60274,75.58904,74.57534,74.38356,71.50685,71.31507,80.13699,74.90411,76.54795,78.08219
kaz,Kazakhstan,73.58904,80.41096,79.06849,75.67123,76.27397,75.86301,74.46575,73.80822,73.89041,73.39726,80.32877,95.26027,89.15068
ken,Kenya,47.61644,48.54795,48.52055,48.05479,51.47945,52.82192,53.0411,52.76712,52.13699,60.32877,61.09589,63.34247,62.05479
kgz,Kyrgyz Republic,110.24658,104.73973,108.13699,139.26027,124.54795,125.75342,97.80822,117.17808,120.10959,122.13699,115.72603,122.49315,143.17808
khm,Cambodia,61.80822,55.53425,58.16438,58.10959,37.0137,38.79452,43.83562,64.87671,73.67123,75.50685,76.08219,71.20548,68.57534
kir,Kiribati,107.56164,123.15068,127.64384,130.9589,136,131.83562,140.87671,133.91781,129.86301,126.43836,126.13699,137.12329,130.9589
kna,St. Kitts and Nevis,193.86301,204.82192,203.89041,207.86301,202.13699,193.39726,199.39726,204.57534,215.12329,223.67123,181.72603,215.86301,235.53425
kor,South Korea,113.69863,111.17808,108.27397,108.84932,130.21918,133.42466,131.45205,132.43836,135.26027,136.68493,134.13699,134.24658,139.42466
kwt,Kuwait,8.41096,9.20548,7.36986,7.45205,108.57534,115.17808,111.9726,116.27397,107.53425,108.30137,98.90411,93.67123,127.47945
lao,Lao,98.24658,96.90411,117.06849,124.63014,108.54795,84.49315,76.13699,110.82192,113.23288,67.78082,76.73973,96.49315,125.06849
lbn,Lebanon,228.90411,229.15068,228.13699,211.12329,187.09589,168.68493,193.0411,203.09589,188.0274,187.72603,204.82192,219.17808,215.67123
lbr,Liberia,21.42466,20.54795,20.10959,20.13699,20.16438,22.38356,22.87671,23.20548,25.61644,24.32877,24.16438,25.61644,21.23288
lby,Libya,120.0274,119.09589,132.10959,129.12329,143.83562,131.15068,98.21918,124.35616,137.0137,133.50685,124,112.08219,117.36986
lca,St. Lucia,150.49315,141.28767,138.90411,153.23288,119.28767,118.9589,115.28767,115.83562,111.9726,159.28767,150.19178,168.9589,238.9863
lka,Sri Lanka,84.35616,78.9863,88.54795,85.17808,79.39726,83.80822,88.90411,75.34247,70.9863,80.05479,86.63014,93.56164,89.67123
lso,Lesotho,55.58904,55.69863,51.28767,52.57534,52.38356,51.64384,62.84932,67.94521,73.45205,82.49315,66.19178,89.15068,72.68493
ltu,Lithuania,228.73973,242.71233,242.30137,247.0137,250.79452,246.84932,249.39726,248.63014,252.60274,252.90411,266.84932,253.15068,265.31507
lux,Luxembourg,455.75342,408.32877,464.30137,454.10959,448.63014,446.79452,440.84932,437.50685,444.54795,424.19178,429.58904,443.67123,455.20548
